c[0] = 54415, d[0] = 0
c[1] = 54493, d[1] = 78
c[2] = 54762, d[2] = 347
c[3] = 54916, d[3] = 501
c[4] = 55157, d[4] = 742
c[5] = 55301, d[5] = 886
c[6] = 55538, d[6] = 1123
c[7] = 55720, d[7] = 1305
c[8] = 55756, d[8] = 1341
c[9] = 55956, d[9] = 1541
c[10] = 55984, d[10] = 1569
c[11] = 55997, d[11] = 1582
c[12] = 56139, d[12] = 1724
c[13] = 56331, d[13] = 1916
c[14] = 56479, d[14] = 2064
c[15] = 56536, d[15] = 2121
c[16] = 56551, d[16] = 2136
c[17] = 56553, d[17] = 2138
c[18] = 56556, d[18] = 2141
c[19] = 56664, d[19] = 2249
c[20] = 56751, d[20] = 2336
c[21] = 56810, d[21] = 2395
c[22] = 56827, d[22] = 2412
c[23] = 57010, d[23] = 2595
c[24] = 57010, d[24] = 2595
c[25] = 57142, d[25] = 2727
c[26] = 57142, d[26] = 2727
c[27] = 57196, d[27] = 2781
c[28] = 57539, d[28] = 3124
c[29] = 57541, d[29] = 3126
c[30] = 57584, d[30] = 3169
c[31] = 57667, d[31] = 3252
c[32] = 57682, d[32] = 3267
c[33] = 57714, d[33] = 3299
c[34] = 57834, d[34] = 3419
c[35] = 57870, d[35] = 3455
c[36] = 57971, d[36] = 3556
c[37] = 57989, d[37] = 3574
c[38] = 58055, d[38] = 3640
c[39] = 58095, d[39] = 3680
c[40] = 58111, d[40] = 3696
c[41] = 58151, d[41] = 3736
c[42] = 58178, d[42] = 3763
c[43] = 58278, d[43] = 3863
c[44] = 58506, d[44] = 4091
c[45] = 58644, d[45] = 4229
c[46] = 58730, d[46] = 4315
c[47] = 58750, d[47] = 4335
c[48] = 58771, d[48] = 4356
c[49] = 58791, d[49] = 4376
c[50] = 58799, d[50] = 4384
c[51] = 58813, d[51] = 4398
c[52] = 59026, d[52] = 4611
c[53] = 59034, d[53] = 4619
c[54] = 59221, d[54] = 4806
c[55] = 59367, d[55] = 4952
c[56] = 59409, d[56] = 4994
c[57] = 59531, d[57] = 5116
c[58] = 59904, d[58] = 5489
c[59] = 59912, d[59] = 5497
c[60] = 61113, d[60] = 6698
c[61] = 61374, d[61] = 6959
c[62] = 61447, d[62] = 7032
c[63] = 62420, d[63] = 8005
