size,	time
5000000,	7941
3000000,	4772
2000000,	3451
1000000,	1581
500000,	695
4000000,	6338
750000,	1126
100000,	146
1000,	8
0,	0
5000000,	7526
3000000,4758
2000000,	3268
1000000,	1478
500000,	688
4000000,	5934
750000,	1090
100000,	152
1000,	7
0,	0
5000000,	7146
3000000,	4408
2000000,	3067
1000000,	1345
500000,	612
4000000,	5591
750000,	966
100000,	113
1000,	-4
0,	0
5000000, 6862
3000000,	4139
2000000,	2838
1000000,	1241
500000,	586
4000000,	5449
750000,	888
100000,	108
1000,	-1
0,	0
5000000,	7342
3000000,	4492
2000000,	3107
1000000,	1405
500000,	641
4000000,	5683
750000,	981
100000,	132
1000,	0
0,	0
5000000,	7125
3000000,	4551
2000000,	3047
1000000,	1347
500000,	626
4000000,	5682
750000,	973
100000,	137
1000,	8
0,	0
5000000,	7080
3000000,	4213
2000000,	2926
1000000,	1284
500000,	585
4000000,	5587
750000,	935
100000,	110
1000,	3
0,	0
5000000,	7224
3000000,	4480
2000000,	3010
1000000,	1385
500000,	627
4000000,	5656
750000,	1010
100000,	143
1000,	3
0,	0
5000000,	7273
3000000,	4620
2000000,	3123
1000000,	1364
500000,	657
4000000,	5727
750000,	959
100000,	146
1000,	3
0,	0,
5000000,	6963
3000000,	4205
2000000,	2873
1000000,	1252
500000,	576
4000000,	5320
750000,	885
100000,	115
1000,	10
0,	0
