size,	time
5000000,	11209
3000000,	6825
2000000,	4371
1000000,	2181
500000,	1043
4000000,	8788
750000,	1605
100000,	244
1000,	13
0,	0
5000000,	10944
3000000,	6719
2000000,	4108
1000000,	2075
500000,	996
4000000,	8645
750000,	1555
100000,	232
1000,	14
0,	0
5000000,	10569
3000000,	6619
2000000,	4091
1000000,	2051
500000,	1013
4000000,	8432
750000,	1498
100000,	232
1000,	18
0,	0
5000000,	10721
3000000,	6707
2000000,	4131
1000000,	2085
500000,	1023
4000000,	8671
750000,	1544
100000,	244
1000,	11
0,	0
5000000,	10765
3000000,	6558
2000000,	4405
1000000,	2105
500000,	1016
4000000,	8570
750000,	1596
100000,	246
1000,	27
0, 	0
5000000, 	10366
3000000, 6292
2000000,	4464
1000000,	2022
500000,	1034
4000000,	8400
750000,	1511
100000,	241
1000,	12
0,	0
5000000,	10346
3000000,	6092
2000000,	4234
1000000,	1932
500000,	966
4000000,	8157
750000,	1454
100000,	218
1000,	15
0,	0
5000000,	10193
3000000,	5832
2000000,	4219
1000000,	1876
500000,	928
4000000,	8137
750000,	1418
100000,	197
1000, 	7
0, 	0
5000000, 	10472
3000000,	6124
2000000, 	4424
1000000, 1973
500000,	959
4000000,	8310
750000,	1484
100000,	229
1000,	26
0,	0
5000000,	10654
3000000,	6299
2000000,	4464
1000000,	1969
500000,	992
4000000,	8433
750000,	1479
100000,	213
1000,	38
0,	0
